dataset_id,movie_name,trial_idx,n_frames,trial_duration_s,frame_rate_hz,trial_start,trial_end
2024.02.26-12.23.03-Rec,green_blue_3s_3i_3x,0,720,11.9743,60.128775794827256,1346287,1585773
2024.02.26-12.23.03-Rec,green_blue_3s_3i_3x,1,720,11.9832,60.08411776487082,1585773,1825437
2024.02.26-12.23.03-Rec,green_blue_3s_3i_3x,2,720,11.9675,60.16294129935242,1825437,2064787
2024.02.26-12.23.03-Rec,iprgc_test,0,0,120.0,0.0,18747169,21147169
2024.02.26-12.23.03-Rec,iprgc_test,1,0,120.0,0.0,21180696,23580696
2024.02.26-12.23.03-Rec,moving_h_bar_s5_d8_3x,0,4520,75.15385,60.14329272552237,3971505,5474582
2024.02.26-12.23.03-Rec,moving_h_bar_s5_d8_3x,1,4520,75.07135,60.20938746938746,5474582,6976009
2024.02.26-12.23.03-Rec,moving_h_bar_s5_d8_3x,2,4520,75.1288,60.163346146883754,6976009,8478585
2024.02.26-12.23.03-Rec,perfect_dense_noise_15x15_15hz_r42_3min,0,10800,179.48495,60.17217599581469,8601790,12191489
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,0,600,9.97755,60.1350030819189,12411106,12610657
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,1,600,9.9673,60.19684367882977,12610657,12810003
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,2,600,9.9674,60.19623974155748,12810003,13009351
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,3,600,9.97895,60.12656642231899,13009351,13208930
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,4,600,9.98785,60.072988681247715,13208930,13408687
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,5,600,9.98075,60.11572276632517,13408687,13608302
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,6,600,9.9849,60.09073701288946,13608302,13808000
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,7,600,9.9605,60.237939862456706,13808000,14007210
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,8,600,9.97565,60.146456621874265,14007210,14206723
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,9,600,9.97015,60.179636214099084,14206723,14406126
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,10,600,9.9766,60.14072930657739,14406126,14605658
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,11,600,9.98405,60.09585288535214,14605658,14805339
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,12,600,9.96755,60.19533385837042,14805339,15004690
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,13,600,9.9415,60.353065432781776,15004690,15203520
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,14,600,9.9662,60.20348778872589,15203520,15402844
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,15,600,9.95475,60.2727341219016,15402844,15601939
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,16,600,9.96445,60.21406098680811,15601939,15801228
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,17,600,9.9728,60.16364511471202,15801228,16000684
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,18,600,9.9759,60.1449493278802,16000684,16200202
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,19,600,9.9766,60.14072930657739,16200202,16399734
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,20,600,9.96325,60.22131332647479,16399734,16598999
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,21,600,9.97345,60.15972406739895,16598999,16798468
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,22,600,9.97315,60.16153371803291,16798468,16997931
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,23,600,9.9534,60.28090903610826,16997931,17196999
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,24,600,9.9721,60.16786835270405,17196999,17396441
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,25,600,9.9704,60.17812725667977,17396441,17595849
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,26,600,9.9673,60.19684367882977,17595849,17795195
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,27,600,9.9737,60.158216108365,17795195,17994669
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,28,600,9.96365,60.21889568581795,17994669,18193942
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_30x,29,600,9.95625,60.263653483992464,18193942,18393067
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_3x,0,600,9.95285,60.284240192507674,548915,747972
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_3x,1,600,9.97915,60.12536137847412,747972,947555
2024.02.26-12.23.03-Rec,step_up_5s_5i_b0_3x,2,600,9.971,60.17450606759603,947555,1146975
2024.02.26-13.44.15-Rec,baseline_127,0,180,2.9905,60.19060357799699,267037,326847
2024.02.26-13.44.15-Rec,freq_step_5st_3x,0,1500,24.932,60.16364511471202,2232076,2730716
2024.02.26-13.44.15-Rec,freq_step_5st_3x,1,1500,24.9171,60.19962194637417,2730716,3229058
2024.02.26-13.44.15-Rec,freq_step_5st_3x,2,1500,24.89565,60.25148971808328,3229058,3726971
2024.02.26-13.44.15-Rec,green_blue_3s_3i_3x,0,720,11.97105,60.145100053879986,1344835,1584256
2024.02.26-13.44.15-Rec,green_blue_3s_3i_3x,1,720,11.94965,60.25281075177934,1584256,1823249
2024.02.26-13.44.15-Rec,green_blue_3s_3i_3x,2,720,11.9599,60.2011722506041,1823249,2062447
2024.02.26-13.44.15-Rec,iprgc_test,0,0,120.0,0.0,18767588,21167588
2024.02.26-13.44.15-Rec,iprgc_test,1,0,120.0,0.0,21201740,23601740
2024.02.26-13.44.15-Rec,moving_h_bar_s5_d8_3x,0,4520,75.1102,60.17824476569094,3970752,5472956
2024.02.26-13.44.15-Rec,moving_h_bar_s5_d8_3x,1,4520,75.0803,60.202210166981224,5472956,6974562
2024.02.26-13.44.15-Rec,moving_h_bar_s5_d8_3x,2,4520,75.08705,60.196798249498414,6974562,8476303
2024.02.26-13.44.15-Rec,perfect_dense_noise_15x15_15hz_r42_3min,0,10800,179.34015,60.220759266678435,8599828,12186631
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,0,600,9.95415,60.27636714335227,12406547,12605630
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,1,600,9.96785,60.19352217378873,12605630,12804987
