dataset_id,direction,rep_idx,start_frame_rel,end_frame_rel,start_frame_abs,end_frame_abs,n_frames,duration_samples_approx,duration_s_approx,movie_start_frame
2024.02.28-11.57.32-Rec,135,2,10961,11001,21705,21745,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,180,0,2461,2501,13205,13245,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,180,1,6981,7021,17725,17765,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,180,2,11501,11541,22245,22285,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,225,0,2894,2934,13638,13678,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,225,1,7414,7454,18158,18198,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,225,2,11934,11974,22678,22718,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,270,0,3884,3924,14628,14668,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,270,1,8404,8444,19148,19188,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,270,2,12924,12964,23668,23708,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,315,0,4330,4370,15074,15114,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,315,1,8850,8890,19594,19634,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,315,2,13370,13410,24114,24154,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,45,0,1047,1087,11791,11831,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,45,1,5567,5607,16311,16351,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,45,2,10087,10127,20831,20871,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,90,0,1267,1307,12011,12051,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,90,1,5787,5827,16531,16571,40,13807,0.69035,10744
2024.02.28-11.57.32-Rec,90,2,10307,10347,21051,21091,40,13807,0.69035,10744
2024.02.28-13.50.36-Rec,0,0,290,330,11034,11074,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,0,1,4810,4850,15554,15594,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,0,2,9330,9370,20074,20114,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,135,0,1777,1817,12521,12561,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,135,1,6297,6337,17041,17081,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,135,2,10817,10857,21561,21601,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,180,0,2551,2591,13295,13335,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,180,1,7071,7111,17815,17855,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,180,2,11591,11631,22335,22375,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,225,0,3010,3050,13754,13794,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,225,1,7530,7570,18274,18314,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,225,2,12050,12090,22794,22834,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,270,0,3692,3732,14436,14476,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,270,1,8212,8252,18956,18996,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,270,2,12732,12772,23476,23516,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,315,0,4364,4404,15108,15148,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,315,1,8884,8924,19628,19668,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,315,2,13404,13444,24148,24188,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,45,0,931,971,11675,11715,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,45,1,5451,5491,16195,16235,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,45,2,9971,10011,20715,20755,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,90,0,1459,1499,12203,12243,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,90,1,5979,6019,16723,16763,40,13710,0.6855,10744
2024.02.28-13.50.36-Rec,90,2,10499,10539,21243,21283,40,13710,0.6855,10744
2024.03.01-10.28.08-Rec,0,0,372,412,11116,11156,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,0,1,4892,4932,15636,15676,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,0,2,9412,9452,20156,20196,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,135,0,1935,1975,12679,12719,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,135,1,6455,6495,17199,17239,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,135,2,10975,11015,21719,21759,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,180,0,2579,2619,13323,13363,40,13701,0.68505,10744
